presenca,presLed,luminosidade,luzLed
8.315789474,150.3846154,23.12820513,0
9.466666667,255,23.18181818,0
8.311111111,198.3333333,23.04347826,0
8.592592593,207.7777778,23.23076923,0
8,255,23,0
9.388888889,255,23.13888889,0
9.130434783,227.8723404,23.08510638,0
9.523809524,223.902439,23.23809524,0
6.923076923,124.2307692,23.31578947,0
9.365853659,223.902439,23.2195122,0
7.714285714,182.1428571,23.22857143,0
8.058823529,165,23.29411765,0
8.545454545,231.8181818,23.24242424,0
9.166666667,219.5833333,23.36111111,0
8.342857143,174.8571429,23.11111111,0
7.212121212,146.8181818,23.15625,0
8.272727273,197.0454545,23.22727273,0
9.875,255,23.25,0
8.142857143,166.0465116,23.37209302,0
9.333333333,226.0227273,23.38636364,0
8.52173913,171.8478261,23.5,0
9.106382979,227.8723404,23.35416667,0
9.574468085,227.8723404,23.34782609,0
9.5,223.125,23.375,0
8.19047619,170,23.28571429,0
8.333333333,194.2857143,23.30232558,0
8.893617021,217.0212766,23.47826087,0
8.782608696,194.0217391,23.74468085,0
9.346938776,219.3,23.83673469,0
8.958333333,200.7446809,23.79166667,0
7.627906977,148.255814,24,0
9.608695652,243.9130435,23.84782609,0
9.583333333,228.4375,23.57142857,0
8.3,146.625,23.6,0
9.255813953,207.5581395,23.5,0
9.583333333,228.4375,23.77083333,0
9.591836735,255,23.57142857,0
8.595744681,179.0425532,23.63829787,0
8.619047619,182.1428571,23.3255814,0
8.782608696,205.1086957,23.71111111,0
8.163265306,202.9591837,23.6122449,0
7.869565217,160.7608696,23.58695652,0
7.636363636,179.6590909,23.93181818,0
8.227272727,197.0454545,23.75,0
6.341463415,68.41463415,23.80487805,0
8.444444444,198.3333333,24.04444444,0
8.260869565,171.8478261,24,0
8.695652174,227.2826087,24.13043478,0
8.8,229.5,23.96,0
9.043478261,205.1086957,23.91304348,0
8.146341463,155.4878049,23.97560976,0
8.604651163,166.0465116,23.27272727,0
9.6,229.5,23.2244898,0
9.583333333,228.4375,23.2244898,0
8.775510204,202.9591837,23.3125,0
8.833333333,201.875,23.27083333,0
7.911111111,171.8478261,23.13043478,0
6.363636364,110.1136364,23.29545455,0
7.608695652,170,23.24444444,0
9.083333333,223.125,23.25,0
8,156.122449,23.10204082,0
8.723404255,171.8478261,23.23913043,0
7.857142857,194.2857143,23.20930233,0
6.954545455,139.0909091,23.34883721,0
7.285714286,163.9285714,23.34883721,0
8.090909091,150.6818182,23.41860465,0
8.651162791,213.4883721,23.3255814,0
9.25,207.1875,23.35416667,0
9.914893617,249.6875,23.39583333,0
8.260869565,170,23.22222222,0
8.869565217,210.6521739,23.23913043,0
8.25,159.375,23.33333333,0
8.25,154.0625,23.44897959,0
8.708333333,191.25,23.29787234,0
6.680851064,157.3404255,23.53191489,0
8.177777778,170,23.33333333,0
7.822222222,198.3333333,23.26666667,0
8.652173913,171.8478261,23.5,0
9.183673469,202.9591837,23.30612245,0
9.416666667,217.8125,23.45833333,0
7.571428571,115.3571429,23.28571429,0
7.894736842,120.7894737,23.42105263,0
8.604651163,166.0465116,23.55813953,0
7,127.5,23.475,0
8.368421053,201.3157895,23.5,0
7.853658537,149.2682927,23.43902439,0
8.3,191.25,23.375,0
8.325581395,166.0465116,23.53488372,0
8.577777778,170,23.53333333,0
8,175.3125,23.58333333,0
7.956521739,138.5869565,23.65217391,0
8.653061224,208.1632653,23.57142857,0
8.775510204,204,23.6,0
9.387755102,228.4375,23.625,0
8.16,188.7,23.58,0
9.173913043,244.1489362,23.55319149,0
8.510638298,171.8478261,23.60869565,0
9.166666667,201.875,23.72916667,0
7.87755102,161.3265306,23.65306122,0
8.590909091,231.8181818,23.70454545,0
8.311111111,170,23.77777778,0
7.866666667,170,23.8,0
9.125,212.5,23.625,0
8.936170213,201.875,23.79166667,0
7.787234043,149.673913,23.82608696,0
7.658536585,186.5853659,23.63414634,0
8.790697674,207.5581395,23.79069767,0
8.978723404,217.0212766,23.70212766,0
8.409090909,168.0681818,23.75,0
8.979591837,202.9591837,23.78,0
8.897959184,202.9591837,23.77083333,0
8.833333333,228.4375,23.83333333,0
8.636363636,226.0227273,23.77272727,0
8.952380952,188.2142857,23.76744186,0
8,142.3255814,23.9047619,0
8.476190476,188.2142857,23.79069767,0
7.555555556,141.6666667,23.93181818,0
7.818181818,173.8636364,24.09090909,0
7.063829787,108.5106383,23.78723404,0
8.085106383,157.3404255,23.80851064,0
9.306122449,213.3673469,23.89795918,0
8.553191489,189.893617,23.80851064,0
8.083333333,159.375,23.85416667,0
8.651162791,183.8372093,23.81395349,0
8.181818182,170,23.86666667,0
9.069767442,194.2857143,23.76190476,0
8.780487805,192.804878,23.85365854,0
8.510638298,173.6170213,23.87234043,0
9.2,204,23.94,0
8.977777778,249.3333333,23.93478261,0
6.8,119,23.88636364,0
8.181818182,197.0454545,23.93181818,0
8.536585366,192.804878,23.90243902,0
7.581395349,171.9767442,23.97727273,0
7.902439024,155.4878049,23.95,0
8.043478261,171.8478261,24.12765957,0
8.571428571,202.9591837,23.97916667,0
8.636363636,197.0454545,23.97727273,0
8.048780488,161.7073171,23.92682927,0
9.14893617,200.7446809,23.91489362,0
8.355555556,170,23.91111111,0
8.85106383,200.7446809,23.91489362,0
8.595744681,195.3191489,23.93617021,0
9.217391304,205.1086957,23.93617021,0
8.75,202.9591837,23.97916667,0
10,255,23.91836735,0
8.163265306,150.9183673,23.97959184,0
8.2,204,23.92,0
9.375,228.4375,23.89583333,0
9.574468085,227.8723404,23.9787234,0
8.444444444,199.5652174,23.95652174,0
9.591836735,228.4375,23.95833333,0
7.56,137.7,23.98,0
8.166666667,138.125,24,0
8.382978723,200.7446809,23.95744681,0
7.958333333,140.5102041,23.97959184,0
8.697674419,206.4285714,23.9047619,0
10,255,23.97959184,0
9.574468085,255,23.93617021,0
7.777777778,170,23.93333333,0
7.5,159.375,23.925,0
6.864864865,100.6578947,23.92105263,0
6.888888889,182.1428571,24,0
8.666666667,209.2307692,23.975,0
9.565217391,255,23.97777778,0
8.666666667,198.3333333,23.93333333,0
8.80952381,194.2857143,24.11904762,0
9.024390244,223.902439,23.97560976,0
9.333333333,226.6666667,23.95555556,0
9.787234043,255,24,0
8.085106383,175.3125,24,0
8.958333333,200.7446809,24.0212766,0
7.511111111,124.6666667,23.97777778,0
8.380952381,212.5,23.97619048,0
7.105263158,87.23684211,24,0
8.666666667,170,24,0
7.617021277,151.9148936,24.0212766,0
8.577777778,198.3333333,24,0
8.545454545,197.0454545,24.02272727,0
8.347826087,173.6170213,24,0
8.80952381,255,23.95121951,0
9.125,212.5,24.08333333,0
9.404255319,217.0212766,24.0212766,0
9.913043478,249.4565217,24.04347826,0
9.217391304,232.826087,24.04347826,0
8.818181818,197.0454545,23.97727273,0
8.619047619,195.6976744,24.04651163,0
9.361702128,227.2826087,24.02173913,0
9.791666667,255,24.02083333,0
9.302325581,225.3488372,24.02325581,0
8.695652174,171.8478261,24,0
8.913043478,227.8723404,24.06382979,0
10,255,24.12765957,0
10,255,24.0212766,0
8.913043478,199.5652174,24.02173913,0
10,255,24.11627907,0
8.913043478,199.5652174,24.15555556,0
9.7,242.25,24.25,0
8.977777778,226.6666667,24.37777778,0
9.744680851,238.7234043,24.40425532,0
9.574468085,227.8723404,24.59574468,0
8.625,180.625,24.89583333,0
8.355555556,192.6666667,24.76086957,0
8.040816327,176.9387755,24.73469388,0
8.833333333,228.4375,24.9787234,0
9.3,255,25,0
8.541666667,175.3125,25.14893617,0
7.608695652,171.8478261,25.17391304,0
8.333333333,148.75,25.625,0
8.510638298,173.6170213,25.93617021,0
8.723404255,200.7446809,26.08510638,0
9.166666667,201.875,26.70833333,0
8.5,185.9375,27.20833333,0
8.127659574,217.0212766,27.95744681,0
7.291666667,159.375,28.89795918,0
8.326530612,182.1428571,30.25,0
7.76,137.7,31.82,0
7.391304348,155.2173913,34.19565217,0
8.08,193.8,37.26,0
7.87755102,150.9183673,41.55102041,0
7.531914894,119.3617021,46.59574468,0
9.625,244.375,51.70833333,0
7.795918367,156.122449,57.38,0
9.5,233.75,63.14893617,0
8.6,178.5,69.26,0
8.382978723,191.25,77.52083333,0
8.041666667,184.4680851,86.54166667,0
7.958333333,164.6875,96.72340426,0
8.723404255,211.5957447,109.1489362,0
8.12244898,176.9387755,122.9183673,0
9.166666667,201.875,134.1666667,0
8.510638298,173.6170213,140.3829787,0
9.787234043,255,143.4375,0
8.765957447,216.1956522,149.0434783,0
8.291666667,159.375,158.25,0
7.8,153,170.26,0
9.130434783,199.5652174,183.7391304,0
8.775510204,176.9387755,198.2244898,0
8.166666667,159.375,214.2040816,0
8.468085106,189.893617,233.7021277,0
7.333333333,132.8125,259.212766,0
7.875,164.6875,287.5,0
8.571428571,202.9591837,315.7755102,0
7.565217391,144.1304348,342.0652174,0
8.816326531,228.9795918,367.6122449,0
7.959183673,150.9183673,392.4693878,0
6.979591837,109.2857143,415.6938776,0
7.565217391,135.6382979,437.3191489,0
8.6,202.9591837,458.9591837,0
8.708333333,191.25,479.4791667,0
9,212.5,499.755102,0
8,176.9387755,517.8333333,0
7.130434783,119.3617021,535.5744681,0
9.333333333,233.75,552.1041667,0
9.265306122,212.5,567.3469388,0
8.489795918,187.3469388,581.2291667,0
7.958333333,148.75,593.1041667,0
8.244897959,176.9387755,605.0612245,0
6.166666667,69.0625,616.8333333,0
9.083333333,207.1875,628.7916667,0
8.208333333,143.4375,641.25,0
8.958333333,201.875,653.0625,0
7.125,159.375,664.877551,0
7.96,168.3,675.4489796,0
7.446808511,146.4893617,683.6041667,0
8.695652174,199.5652174,689.0869565,0
8.583333333,175.3125,692.9787234,0
7.347826087,116.4130435,697,0
8.142857143,151.7857143,699.8333333,35.58139535
9.304347826,210.6521739,702.5869565,255
8.227272727,185.4545455,706.5454545,255
8.341463415,205.2439024,710.1666667,255
7.636363636,141.6666667,715.2045455,255
7.916666667,173.6170213,721.5106383,255
8.510638298,200.7446809,727.212766,255
7.863636364,187,733.4,255
7.531914894,182.9347826,740.4565217,255
8.041666667,143.4375,746.5625,255
7.875,132.8125,753.9791667,255
7.333333333,143.4375,762.25,255
7.957446809,146.4893617,770.0851064,255
7.673469388,187.3469388,775.5306122,255
6.857142857,104.0816327,783.6122449,255
8.708333333,185.9375,791.6875,255
7.208333333,159.375,800.7916667,255
6.708333333,164.6875,809.2244898,255
7.183673469,176.9387755,816.0208333,255
7.043478261,138.5869565,822.212766,255
8.489795918,208.1632653,826.25,255
6.553191489,81.38297872,832.5319149,255
7.958333333,159.375,837.9583333,255
7.872340426,173.6170213,843.9361702,255
9.090909091,197.0454545,847.5227273,255
9.744680851,238.7234043,851.3958333,255
9.04,193.8,855.9591837,255
8.936170213,227.8723404,861.8085106,255
8.408163265,202.9591837,867.3469388,255
7.125,138.125,873.3541667,255
7.617021277,157.3404255,879.7659574,255
8.93877551,204,888.48,255
7.791666667,141.0638298,894.5531915,255
7.84,153,896.6,255
7.04,107.1,898.26,255
6.12,70,880.3137255,255
7.673469388,159.375,848.0204082,255
9.632653061,255,849.8541667,255
8,155,884.7647059,255
7.791666667,150.9183673,907.3469388,255
8.156862745,178.5,904.1,255
8.326530612,161.3265306,881.5918367,255
6.96,127.5,868.6,255
8,164.6875,873.5306122,255
7.755102041,124.8979592,857.875,255
9.361702128,227.8723404,847.4893617,255
9.375,228.4375,855.5833333,255
9.565217391,227.2826087,840.173913,255
9.14893617,200.7446809,820.7234043,255
8.979591837,202.9591837,813.2244898,255
7.826086957,173.6170213,810.4042553,255
10,255,801.8666667,255
9.224489796,218.5714286,803.875,255
9.744680851,238.7234043,805.8297872,255
9.565217391,227.8723404,804.2340426,255
9.705882353,247.2727273,815.0606061,255
9.069767442,237.6136364,810.7045455,255
8.260869565,170,801.2608696,255
9.302325581,225.3488372,802.047619,255
7.608695652,146.4893617,803.0425532,255
9.555555556,255,803.4666667,255
9.555555556,226.6666667,806.4090909,255
9.574468085,227.8723404,805.9375,255
9.361702128,227.8723404,809.2173913,255
8.695652174,171.8478261,812.212766,255
8.863636364,197.0454545,815.3953488,255
7.708333333,148.75,819.0208333,255
8.869565217,182.9347826,823.3478261,255
8.488888889,158.6666667,830.5777778,255
9.111111111,226.6666667,842.3333333,255
7.872340426,173.6170213,860.9361702,255
7.904761905,151.7857143,878.8333333,255
9.319148936,212.5,925.0625,255
10,255,936.8478261,255
9.545454545,226.0227273,939.9318182,255
8.577777778,202.8409091,940.1590909,255
8.088888889,164.3333333,941.0444444,255
10,255,941.673913,255
9.489361702,221.7391304,941.826087,255
9.644444444,232.826087,933.4782609,255
9.347826087,226.6666667,918.5777778,255
9.534883721,225.3488372,880,255
10,255,864.1111111,255
9.2,202.8409091,851.7272727,255
7.956521739,141.0638298,845.7021277,255
9.777777778,255,845.25,255
9.565217391,227.2826087,848.2608696,255
9.555555556,227.2826087,854.2391304,255
10,255,860.1333333,255
9.130434783,255,872.0434783,255
10,255,869.5813953,255
10,255,870.2888889,255
10,255,843.1956522,255
10,255,833.7391304,255
9.130434783,198.3333333,827.2173913,255
9.574468085,227.8723404,821.8695652,255
9.565217391,227.2826087,818.4347826,255
8.666666667,225.3488372,816.627907,255
8.772727273,195.6976744,816.0232558,255
9.333333333,227.2826087,816.2173913,255
9.782608696,255,816.9333333,255
10,255,816.9565217,255
10,255,816.2391304,255
10,255,815.0909091,255
10,255,813.5227273,255
9.733333333,238,811.3333333,255
9.818181818,243.4090909,809.1555556,255
9.534883721,225.3488372,807.2380952,255
9.130434783,227.2826087,806.6086957,255
9.565217391,227.8723404,807.106383,255
10,255,809.6222222,255
10,255,813.3829787,255
10,255,817.6428571,255
10,255,821.8863636,255
10,255,825.6,255
10,255,828.2391304,255
9.555555556,226.6666667,830.6666667,255
9.022222222,198.3333333,833.5777778,255
8.636363636,191.25,834.5681818,255
9.162790698,202.8409091,838.7272727,255
9.361702128,227.2826087,840.5869565,255
9.565217391,227.2826087,842,255
9.217391304,227.8723404,841.9148936,255
9,195.6976744,840,255
8.666666667,198.3333333,835.6304348,255
9.333333333,226.6666667,830.0909091,255
8.863636364,197.0454545,825.3863636,255
9.318181818,226.0227273,821.2272727,255
9.574468085,227.8723404,816.9787234,255
10,255,812.6818182,255
9.302325581,225.3488372,808.5454545,255
9.565217391,227.2826087,805.3777778,255
9.545454545,255,802.3409091,255
9.565217391,255,799.0652174,255
8.243902439,163.9285714,795.547619,255
8.744186047,200.3571429,793.1904762,255
9.227272727,220.2272727,791.6136364,255
9.565217391,227.2826087,791.4130435,255
9.534883721,225.3488372,792.5581395,255
10,255,794.7826087,255
10,255,797.0666667,255
9.76744186,255,799.9534884,255
9.574468085,227.8723404,802.4468085,255
9.347826087,227.2826087,803.9111111,255
9.565217391,227.2826087,804.6521739,255
10,255,804.7954545,255
9.024390244,192.804878,804.1463415,255
9.302325581,225.3488372,804.5581395,255
9.545454545,226.0227273,805.6818182,255
9.545454545,255,807.7272727,255
10,255,810.1304348,255
10,255,812.8604651,255
10,255,815.8666667,255
9.545454545,226.0227273,818.5909091,255
10,255,821.2272727,255
9.244444444,221,823.3555556,255
9.217391304,232.826087,825.1111111,255
10,255,827.6590909,255
9.347826087,226.6666667,830.3695652,255
9.090909091,197.0454545,832.6511628,255
10,255,834.6363636,255
9.534883721,255,837.6046512,255
9.130434783,227.2826087,840.9565217,255
8.844444444,181.3333333,842.6888889,255
8.818181818,243.4090909,844.6136364,255
9.866666667,255,846.5555556,255
9.446808511,233.2978723,846.3829787,255
9.022222222,192.6666667,848.0888889,255
9.130434783,199.5652174,853.4565217,255
10,255,855.9047619,255
9.069767442,195.6976744,856.372093,255
10,255,861.9333333,255
10,255,865.0697674,255
10,255,869.0232558,255
9.545454545,255,866.5909091,255
9.545454545,226.0227273,862.5681818,255
10,255,856.0238095,255
10,255,847.627907,255
9.555555556,226.6666667,840.9333333,255
10,255,838.7272727,255
10,255,839.4594595,255
9.302325581,225.3488372,842.0697674,255
9.772727273,255,846.2,255
9.304347826,206.1702128,851.5434783,255
9.608695652,249.3333333,857.4,255
9.75,255,862.8292683,255
10,255,867.0810811,255
10,255,872.5121951,255
10,255,875.7948718,255
10,255,870.1071429,255
10,255,861.7674419,255
10,255,859.1818182,255
10,255,858.0681818,255
10,255,858.1162791,255
9,208.0263158,858.8421053,255
8.975609756,205.2439024,859.8780488,255
9.111111111,227.2826087,861.4347826,255
10,255,863,255
8.571428571,194.2857143,863.1428571,255
10,255,863.6428571,255
9.772727273,255,864.4090909,255
9.565217391,227.8723404,864.9361702,255
9.565217391,227.2826087,867.0217391,255
9.76744186,255,870.1190476,255
10,255,873.2325581,255
9.534883721,225.3488372,880.6744186,255
9.024390244,194.2857143,887.452381,255
10,255,901.1904762,255
9.459459459,220.5405405,889.9210526,255
9.288888889,226.6666667,889.8409091,255
9.348837209,225.3488372,891.0681818,255
10,255,892.047619,255
9.714285714,255,884.8823529,255
9.2,204,880.6,255
9.222222222,228.1578947,874.1578947,255
9.071428571,227.6785714,874.9642857,255
9.714285714,255,880.6857143,255
9.333333333,212.5,884.7931034,255
8.888888889,255,883.2777778,255
10,255,878,255
9.117647059,217.5,875,255
8.888888889,226.6666667,873.8444444,255
9.111111111,255,870.9111111,255
10,255,871.4054054,255
8.956521739,226.6666667,874.9333333,255
8.975609756,192.804878,878.804878,255
10,255,878.3157895,255
9.162790698,219.4186047,875.3488372,255
8.325581395,201.627907,871.8372093,255
9.657142857,255,882.6388889,255
9.428571429,255,887.5588235,255
8,141.6666667,887.9333333,255
9.047619048,224.6428571,896.1190476,255
9.318181818,226.0227273,898.0454545,255
6.511627907,110.1136364,894.5909091,255
10,255,884.5909091,255
8.619047619,194.2857143,876.9512195,255
8.975609756,223.902439,891.3658537,255
8.636363636,197.0454545,892.8863636,255
9.022222222,204,894.5111111,255
8.533333333,194.0217391,898.9130435,255
9.555555556,255,894.3181818,255
8.5,226.0227273,895.3863636,255
9,232.826087,894.6086957,255
8.681818182,191.25,892.2045455,255
9.545454545,226.0227273,887,255
7.777777778,170,878.8222222,255
10,255,865.3913043,255
9.555555556,226.6666667,857.0444444,255
10,255,861.4666667,255
9.555555556,255,859.4,255
9.422222222,226.6666667,861.8,255
9,226.0227273,859.3181818,255
10,255,861.8913043,255
9.288888889,209.6666667,847.3777778,255
9.581395349,243.1395349,839.8372093,255
8.80952381,225.3488372,826.744186,255
9.777777778,255,821.2045455,255
9.652173913,232.826087,819.7826087,255
8.772727273,191.25,814.7727273,255
9.534883721,255,813.3953488,255
9.111111111,198.3333333,813.0666667,255
7.954545455,139.0909091,818.6136364,255
8.909090909,197.0454545,825.4090909,255
8,199.5652174,821.7173913,255
9.333333333,226.6666667,817.2222222,255
9.14893617,227.8723404,805.25,255
9.090909091,197.0454545,805.255814,255
8.177777778,198.3333333,808.6222222,255
8.651162791,195.6976744,805.3023256,255
7.513513514,151.6216216,809.027027,255
8.341463415,192.804878,809.4146341,255
10,255,827.8095238,255
9.555555556,226.0227273,825.6590909,255
10,255,815.6428571,255
7.857142857,133.5714286,803.4285714,255
8.4375,177.7272727,802.3333333,255
